row_id	card_id	card_name	attack_name	base_damage	energy_cost	effect_text	effect_family	backend_owner	pattern_target	needs_pending_action	implementation_status	verification_status	fully_reviewed	notes
131	xy1-100	Tauros	Take Down	30	Colorless	This PokÃ©mon does 10 damage to itself.	self-damage	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
132	xy1-100	Tauros	Seething Anger	30Ã—	Colorless,Colorless,Colorless	Flip a coin for each damage counter on this PokÃ©mon. This attack does 30 damage times the number of heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
133	xy1-101	Dunsparce	Glare	0	Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Paralyzed.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
134	xy1-101	Dunsparce	Second Bite	10+	Colorless,Colorless	Does 10 more damage for each damage counter on your opponent's Active PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
135	xy1-102	Taillow	Aerial Ace	10+	Colorless,Colorless	Flip a coin. If heads, this attack does 30 more damage.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
136	xy1-104	Skitty	Heal Bell	0	Colorless	Heal 10 damage from each of your PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
137	xy1-105	Delcatty	Energy Salon	0	Colorless	Search your deck for 3 different types of basic Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.	search-deck	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
138	xy1-105	Delcatty	Fake Out	30	Colorless,Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Paralyzed.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
139	xy1-106	Bidoof	Hyper Fang	40	Colorless,Colorless	Flip a coin. If tails, this attack does nothing.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
140	xy1-107	Bibarel	Double Headbutt	30Ã—	Colorless,Colorless	Flip 2 coins. This attack does 30 damage for each heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
141	xy1-107	Bibarel	Hypno Headbutt	60+	Colorless,Colorless,Colorless	You may do 30 more damage. If you do, this PokÃ©mon is now Asleep.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
142	xy1-109	Herdier	Jump On	50+	Colorless,Colorless,Colorless	Flip a coin. If heads, this attack does 20 more damage.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
143	xy1-110	Stoutland	Bite Off	60+	Colorless,Colorless,Colorless	If your opponent's Active PokÃ©mon is a PokÃ©mon-EX, this attack does 60 more damage.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
144	xy1-110	Stoutland	Wild Barking	80	Colorless,Colorless,Colorless,Colorless	Does 20 damage to 1 of your opponent's Benched PokÃ©mon. (Don't apply Weakness and Resistance for Benched PokÃ©mon.)	bench-damage	backend-engine	Chain.TargetSelection	yes	implemented	verified	yes	
145	xy1-111	Bunnelby	Dig	10	Colorless,Colorless	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this PokÃ©mon during your opponent's next turn.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
146	xy1-112	Diggersby	Pickup	0	Colorless,Colorless	Put 2 Item cards from your discard pile into your hand.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
147	xy1-112	Diggersby	Dig	50	Colorless,Colorless,Colorless	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this PokÃ©mon during your opponent's next turn.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
148	xy1-113	Fletchling	Me First	0	Colorless	Draw a card.	draw	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
149	xy1-114	Furfrou	Energy Cutoff	80	Colorless,Colorless,Colorless	Flip a coin. If heads, discard an Energy attached to your opponent's Active PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
150	xy1-141	Venusaur-EX	Poison Powder	60	Grass,Colorless,Colorless	Your opponent's Active PokÃ©mon is now Poisoned.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
151	xy1-141	Venusaur-EX	Jungle Hammer	90	Grass,Grass,Colorless,Colorless	Heal 30 damage from this PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
152	xy1-142	Blastoise-EX	Rapid Spin	30	Colorless,Colorless	Switch this PokÃ©mon with 1 of your Benched PokÃ©mon. Then, your opponent switches his or her Active PokÃ©mon with 1 of his or her Benched PokÃ©mon.	switch-effect	backend-engine	Strategy.AttackEffect	yes	todo	not-reviewed	no	
153	xy1-142	Blastoise-EX	Splash Bomb	120	Water,Water,Water	Flip a coin. If tails, this PokÃ©mon does 30 damage to itself.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
154	xy1-143	Emolga-EX	Energy Glide	0	Colorless	Search your deck for a Lightning Energy card and attach it to this PokÃ©mon. Shuffle your deck afterward. If you attached Energy in this way, switch this PokÃ©mon with 1 of your Benched PokÃ©mon.	search-deck	backend-engine	Strategy.AttackEffect	yes	partial	not-reviewed	no	
155	xy1-143	Emolga-EX	Electron Crush	60+	Lightning,Colorless,Colorless	You may discard an Energy attached to this PokÃ©mon. If you do, this attack does 30 more damage.	discard-energy	backend-engine	Strategy.AttackEffect	no	partial-or-recent	not-reviewed	no	
156	xy1-144	Yveltal-EX	Evil Ball	20+	Darkness,Colorless	This attack does 20 more damage times the amount of Energy attached to both Active PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
157	xy1-144	Yveltal-EX	Y Cyclone	90	Darkness,Colorless,Colorless	Move an Energy from this PokÃ©mon to 1 of your Benched PokÃ©mon.	bench-damage	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
158	xy1-145	Skarmory-EX	Joust	30	Colorless,Colorless	Before doing damage, discard all PokÃ©mon Tool cards attached to your opponent's Active PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
159	xy1-145	Skarmory-EX	Tailspin Piledriver	80+	Metal,Metal,Colorless	If your opponent's Active PokÃ©mon already has any damage counters on it, this attack does 40 more damage.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
160	xy1-146	Xerneas-EX	Break Through	60	Fairy,Colorless,Colorless	This attack does 30 damage to 1 of your opponent's Benched PokÃ©mon. (Don't apply Weakness and Resistance for Benched PokÃ©mon.)	bench-damage	backend-engine	Chain.TargetSelection	yes	todo	not-reviewed	no	
161	xy1-146	Xerneas-EX	X Blast	140	Fairy,Fairy,Colorless,Colorless	This PokÃ©mon can't use X Blast during your next turn.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
